pc4,INWONER,GEM_HH_GR,AV5_HORECA,OAD,median_inc,cluster,level_zip
2211,14455.0,2.2,71.4,1204.0,38115.6746031746,1,534
2212,55.0,2.9,43.6,203.0,37500.0,2,535
2215,15960.0,2.5,74.1,1380.0,35700.0,1,536
2216,570.0,2.1,60.8,1018.0,39900.0,2,537
2221,13240.0,2.4,124.6,2370.0,42900.0,2,538
2222,20.0,1.6,110.10000000000001,1531.0,38115.6746031746,3,539
2223,6165.0,2.3,113.6,1944.0,46200.0,1,540
2224,9525.0,2.4,98.0,2596.0,35800.0,3,541
2225,14180.0,2.5,91.39999999999999,2329.0,42200.0,3,542
2231,16135.0,2.5,154.60000000000002,1996.0,84200.0,2,543
2232,115.0,2.0,104.5,1356.0,95900.0,2,544
2235,5925.0,2.7,184.5,1159.0,38100.0,3,545
2241,10145.0,2.2,77.5,1871.0,39900.0,3,546
2242,9195.0,2.2,80.6,1694.0,48500.0,1,547
2243,2860.0,2.3,61.3,359.0,42800.0,1,548
2244,2000.0,2.8,196.0,482.0,55300.0,2,549
2245,2000.0,2.1,116.30000000000001,449.0,39500.0,3,550
2251,11375.0,2.2,136.4,1726.0,27000.0,3,551
2252,5185.0,2.3,110.8,1667.0,28200.0,3,552
2253,8065.0,2.2,392.8,2204.0,41700.0,3,553
2254,850.0,2.6,112.9,1225.0,37500.0,2,554
2261,4875.0,2.0,185.1,2169.0,36800.0,2,555
2262,3205.0,1.8,215.7,2848.0,74700.0,1,556
2263,5880.0,2.0,157.10000000000002,2433.0,49300.0,3,557
2264,8600.0,2.2,185.0,2880.0,42200.0,3,558
2265,4360.0,2.0,169.4,2436.0,28100.0,2,559
2266,6440.0,2.3,144.2,1326.0,34800.0,2,560
2267,400.0,2.4,802.7,1251.0,53600.0,1,561
2271,7135.0,2.3,650.8,2314.0,47300.0,3,562
2272,8460.0,2.1,411.29999999999995,2757.0,31400.0,2,563
2273,9850.0,1.7,992.4000000000001,4057.0,29800.0,2,564
2274,11590.0,1.9,1185.8,3861.0,26600.0,3,565
2275,4615.0,2.4,1148.6,2452.0,34600.0,3,566
2281,4705.0,2.3,1287.9,3964.0,33000.0,2,567
2282,10425.0,1.9,1247.1,3968.0,27400.0,1,568
