Siga La Vaca,1
Cut Throat Barber Brunch & Bar,1
Park Plaza Victoria Restaurant,2
Restaurant De Roode Leeuw,1
Greenwoods,3
Joya,2
Vasso,1
Café Emmelot,1
Café Verhoeff,2
Greenhouse Effect,1
Calf & Bloom,1
Melly’s Cookie Bar,1
Mata Hari,1
Grekas Greek Deli,2
Dolce Vita,1
Wok Inn,1
De Portugees,1
The Bulldog Energy Coffee Shop,1
Isobar,1
Il Tramezzino,1
Erol Doner,1
Volta,1
Stuyvesant wijnlokaal,2
Petit Deux,2
De Pizzabakkers Haarlemmerdijk,1
Snow Lion Tibetaans Restaurant,2
Leuk!,2
Bagels & Beans IJdock,1
Bar Mick,1
Bayu Food Art & Private Dining,1
Screaming Beans Coffeeroasters Haarlemmerstraat,2
Coffee Shots - Kiosk | by Eline,1
2 Coffee & Such,1
I Dock,1
Marius,1
Yayang – gezonder & bijzonder,1
Strand West,2
Pizza Boy's,1
Zoet & Hartig Haarlemmerdijk,1
JuiceBrothers x VanLeeuwen,1
Barney's Uptown,1
REM-eiland,2
Day and Night pizza,1
Eetcafe Rosereijn,1
Popeye CoffeeShop,1
Café Mads,1
Barneys Farm Shop,1
Balraj Indian Restaurant,1
Pikoteo,1
Indiaas Restaurant Namaskar,2
Chicken BC,2
Comedy Café,1
Stout,1
Kaasland Haarlemmerdijk,1
The Breakfast Club,1
Café Kobalt,1
Café Keyser B.V.,2
De Belhamel,1
Pho Viet,1
HNK Amsterdam Houthavens,1
Appetito - Novitalia,1
Restaurant Apostrof,1
Abinish,2
Café Dulác,2
Lucca Due,1
Jay's Juices,2
Sunny-Yummy Russian & Ukrainian Kitchen,2
Café Restaurant Hoogendam,1
Toki,1
DIS,1
Restaurant La Brasa,1
Burrito Maker,1
Ibericus Amsterdam,1
Pinsa's,1
Barney's Coffeeshop,1
Pont 13,1
MOS,1
Freud,1
Dophert,2
Worst,1
Green House Munchies,2
Bagels & Beans,1
Restaurant Tavenu,1
Panda’s Kitchen,1
Lof,2
Rangoli South Indian Restaurant,1
Ma Bella Cakery,2
Meneer Nieges,1
Thai En Co,1
N.V. Het Havengebouw Amsterdam,1
Harlem Soul Food,1
Le Sud Vegetarisch,1
BAK restaurant,1
De Prael Houthavens Brouwerij,1
De Oranjerie,1
Café De Poort,1
Restaurant Toscana,1
De Gouden Reael,1
Morris & Bella,1
STACH Food,1
SLA,1
Bouillon Brothers Haparandaweg,2
El Hermano de Kique,2
Johnny's Pizza,1
Good Beans,1
Bickers aan de Werf,1
Gezondigd,1
Schumich Café,1
Pho House,2
Small World Catering,1
Coffeeshop Relax,1
Coffeeshop La Grotte,1
Baba Coffeeshop,1
Bar Kantoor Amsterdam,1
Wester Wijnfabriek,2
Buurtboerderij 'Ons Genoegen',1
Conscious Café,1
Studio Westpoort,1
Rainarai,1
Brouwerij Troost Westergas,1
Cafe Sage,2
Espressofabriek,1
Mossel & Gin,1
Westerliefde,1
WappaZ,2
Café \'Het Bruine Paard\',1
Cafe Sandro,1
Seasons,1
Locanda,2
Simz Exotic Food,1
Café \'De II Prinsen\',1
Restaurant Bij Ons In De Jordaan,2
Sugoi Sushi,1
Assaggi,1
Kinnaree Thai Cuisine,1
Black and Blue,1
Café Brandon,1
Papeneiland,1
Restaurant Jottum,1
Duende Dos,1
Finch Café,2
Ko Chang Thai restaurant,1
Café De Zon,1
Café Hegeraad,1
At Letting,1
Eetcafé Roem,1
Smoked Crispy Bacon Sandwich House,1
Eethuis Pondok Indah,1
Café 't Mannetje,1
Spingaren,2
Italiaans Restaurant Pizzeria Pepe,1
La Maschera,1
Mr Haz Taco Bar,1
Chez Georges,1
Cafe Restaurant Lucca,1
Gusto Dei Signori,1
Bolhoed,2
Da Portare Via,2
Pane & Olio,1
Shahjahan Indian restaurant,1
