pc4,labels
4702,0
4703,0
4704,0
4705,1
4706,0
4707,0
4708,0
4709,0
4711,0
4714,1
4715,1
4721,1
4722,1
4724,1
4725,1
4726,1
4727,1
4731,0
4735,0
4741,1
4744,1
4751,1
4754,1
4756,1
4758,1
4759,1
4761,0
4762,1
4765,1
4766,0
4771,0
4772,1
4781,0
4782,0
4791,1
4793,1
4794,1
4796,1
4797,1
4811,0
4812,0
4813,0
4814,0
4815,1
4816,0
4817,0
4818,1
4819,1
4822,0
4823,0
4824,0
4825,0
4826,0
4827,0
4834,0
4835,1
4836,1
4837,1
4838,1
4839,1
4841,0
4844,1
4845,1
4847,1
4849,1
4851,1
4854,1
4855,1
4856,1
4858,1
4859,1
4861,1
4871,0
4872,0
4873,0
4874,1
4875,1
4876,0
4877,0
4878,1
4879,0
4881,0
4882,1
4884,0
4885,1
4891,1
4901,0
4902,0
4903,0
4904,0
4905,1
4906,1
4907,0
4908,1
4909,1
4911,1
4921,0
4924,1
4926,1
4927,1
4931,1
4941,1
4942,1
4944,1
5011,0
5012,0
5013,0
5014,0
5015,1
5017,0
5018,1
5021,0
5022,0
5025,0
5026,1
5032,1
5035,1
5036,1
5037,0
5038,0
5041,0
5042,0
5043,0
5044,0
5045,0
5046,0
5047,0
5048,0
5049,0
5051,0
5052,1
5053,1
5056,0
5057,1
5059,1
5061,0
5062,1
5063,1
5066,1
5071,1
5074,1
5076,1
5081,1
5084,1
5085,1
5087,1
5089,0
5091,1
5094,1
5095,1
5096,1
5101,0
5102,1
5103,1
5104,1
5105,1
5106,0
5107,0
5109,1
5111,0
5113,1
5114,0
5121,0
5122,1
5124,1
5125,1
5126,1
5131,1
5133,1
5141,0
5142,0
5143,1
5144,0
5145,1
5146,1
5151,0
5152,1
5154,1
5156,0
5157,1
5158,1
5161,1
5165,1
5171,0
5172,1
5175,1
5176,0
5211,0
5212,0
5213,1
5215,0
5216,0
5221,1
5222,0
5223,1
5224,0
5231,0
5232,1
5233,1
5234,1
5235,0
5236,1
5237,0
5241,1
5242,1
5243,1
5244,1
5245,1
5246,1
5247,1
5248,1
5249,1
5251,0
5252,1
5253,1
5254,1
5255,0
5256,1
5257,1
5258,1
5261,1
5262,0
5263,1
5264,0
5266,1
5268,1
5271,1
5272,1
5275,1
5281,0
5282,0
5283,0
5291,1
5292,0
5293,1
5294,1
5296,1
5298,1
5301,0
5302,1
5305,1
5306,1
5307,1
5308,1
5311,1
5313,1
5314,1
5315,1
5316,1
5317,1
5318,1
5321,1
5324,1
5325,1
5327,1
5328,0
5331,1
5333,0
5334,1
5335,0
5341,1
5342,1
5343,0
5344,1
5345,0
5346,1
5347,1
5348,0
5349,1
5351,1
5352,1
5353,1
5354,1
5355,1
5356,1
5357,0
5358,1
5359,0
5361,1
5363,1
5364,0
5366,1
5367,1
5368,0
5371,1
5373,1
5374,1
5375,1
5381,1
5382,1
5383,0
5384,0
5386,1
5388,1
5391,1
5392,1
5394,1
5395,1
5396,1
5397,1
5398,1
5401,1
5402,0
5403,0
5404,1
5405,1
5406,1
5408,1
5409,1
5411,1
5421,0
5422,1
5423,0
5424,1
5425,1
5427,1
5428,1
5431,0
5432,1
5433,1
5434,0
5435,1
5437,1
5438,1
5439,1
5441,1
5443,0
5445,1
5446,1
5447,1
5449,1
5451,1
5453,1
5454,1
5455,1
5461,1
5462,1
5463,0
5464,1
5465,1
5466,1
5467,1
5469,1
5471,1
5472,1
5473,1
5476,1
5481,0
5482,0
5491,0
5492,0
5501,0
5502,1
5503,1
5504,1
5505,1
5506,1
5507,1
5508,0
5509,1
5511,1
5512,1
5513,1
5521,0
5524,1
5525,1
5527,1
5528,1
5529,1
5531,0
5534,1
5541,1
5551,0
5552,1
5553,1
5554,1
5555,1
5556,1
5561,1
5563,1
5571,0
5575,1
5581,0
5582,0
5583,0
5591,0
5595,0
5611,0
5612,0
5613,0
5614,0
5615,0
5616,0
5617,0
5621,0
5622,0
5623,0
5624,1
5625,0
5626,0
5627,0
5628,0
5629,0
5631,0
5632,0
5633,0
5641,0
5642,0
5643,0
5644,0
5645,0
5646,0
5647,1
5651,0
5652,0
5653,1
5654,0
5655,1
5656,1
5657,0
5658,0
5661,0
5662,1
5663,1
5664,1
5665,1
5666,1
5667,1
5671,1
5672,1
5673,1
5674,1
5681,1
5682,1
5683,1
5684,0
5685,1
5688,0
5689,1
5691,0
5692,1
5694,0
5701,0
5702,0
5703,1
5704,0
5705,0
5706,0
5707,0
5708,0
5709,0
5711,1
5712,1
5715,1
5721,0
5724,1
5725,1
5731,1
5735,1
5737,1
5738,1
5741,0
5751,0
5752,1
5753,1
5754,1
5756,1
5757,1
5758,1
5759,1
5761,0
5763,1
5764,1
5766,1
5768,1
5801,0
5802,0
5803,0
5804,1
5807,1
5808,1
5809,1
5811,1
5812,1
5813,1
5814,1
5815,1
5816,1
5817,1
5821,1
5823,1
5824,1
5825,1
5826,1
5827,0
5831,0
5835,1
5836,1
5841,1
5843,1
5844,0
5845,1
5846,1
5851,1
5853,1
5854,0
5855,1
5856,0
5861,1
5862,1
5863,1
5864,0
5865,1
5866,0
5871,1
5872,1
5911,0
5912,0
5913,0
5914,0
5915,0
5916,1
5921,1
5922,0
5923,0
5924,0
5925,0
5926,1
5927,1
5928,0
5931,0
5932,0
5935,0
5941,1
5943,0
5944,0
5951,1
5953,0
5954,1
5961,0
5962,1
5963,1
5964,0
5966,1
5971,1
5973,1
5975,1
5976,0
5977,0
5981,0
5984,1
5985,1
5986,1
5987,1
5988,1
5991,1
5993,1
5995,1
6001,1
6002,1
6003,1
6004,0
6005,0
6006,0
6011,0
6012,1
6013,0
6014,0
6015,0
6017,1
6019,1
6021,0
6023,1
6024,0
6026,1
6027,1
6028,1
6029,0
6031,0
6034,1
6035,0
6037,0
