pc4,labels
2685,1
2691,1
2692,1
2693,1
2694,1
2711,1
2712,1
2713,1
2715,1
2716,1
2717,1
2718,1
2719,1
2721,1
2722,1
2723,1
2724,1
2725,1
2726,1
2727,1
2728,1
2729,1
2731,1
2735,1
2741,1
2742,1
2743,1
2751,1
2752,1
2761,1
2771,1
2801,1
2802,1
2803,1
2804,1
2805,1
2806,1
2807,1
2808,1
2809,1
2811,1
2821,1
2825,1
2831,1
2841,1
2851,1
2855,1
2861,1
2865,1
2871,1
2872,1
2901,1
2902,1
2903,1
2904,1
2905,1
2906,1
2907,1
2908,1
2909,1
2911,1
2912,1
2913,1
2914,1
2921,1
2922,1
2923,1
2924,1
2925,1
2926,1
2931,1
2935,1
2941,1
2951,1
2952,1
2953,1
2954,1
2957,1
2959,1
2961,1
2964,1
2965,1
2967,1
2968,1
2969,1
2971,1
2973,1
2974,1
2975,1
2977,1
2981,1
2982,1
2983,1
2984,1
2985,1
2986,1
2987,1
2988,1
2989,1
2991,1
2992,1
2993,1
2994,1
2995,1
3011,1
3012,1
3013,1
3014,1
3015,1
3016,1
3021,1
3022,1
3023,1
3024,1
3025,1
3026,1
3027,1
3028,1
3029,1
3031,1
3032,1
3033,1
3034,1
3035,1
3036,1
3037,1
3038,1
3039,1
3041,1
3042,1
3043,1
3044,1
3045,1
3046,1
3047,1
3051,1
3052,1
3053,1
3054,1
3055,1
3056,1
3059,1
3061,1
3062,1
3063,1
3064,1
3065,1
3066,1
3067,1
3068,1
3069,1
3071,1
3072,1
3073,1
3074,1
3075,1
3076,1
3077,1
3078,1
3079,1
3081,1
3082,1
3083,1
3084,1
3085,1
3086,1
3087,1
3088,1
3089,1
3111,1
3112,1
3113,1
3114,1
3115,1
3116,1
3117,1
3118,1
3119,1
3121,1
3122,1
3123,1
3124,1
3125,1
3131,1
3132,1
3133,1
3134,1
3135,1
3136,1
3137,1
3138,1
3141,1
3142,1
3143,1
3144,1
3145,1
3146,1
3147,1
3151,1
3155,1
3161,1
3162,1
3165,1
3171,1
3172,1
3176,1
3181,1
3191,1
3192,1
3193,1
3194,1
3195,1
3196,1
3197,1
3198,1
3199,1
3201,1
3202,1
3203,1
3204,1
3205,1
3206,1
3207,1
3208,1
3209,1
3211,1
3212,1
3214,1
3216,1
3218,1
3221,1
3222,1
3223,1
3224,1
3225,1
3227,1
3231,1
3232,1
3233,1
3234,1
3235,1
3237,1
3238,1
3241,1
3243,0
3244,0
3245,0
3247,0
3248,0
3249,0
3251,0
3252,0
3253,0
3255,0
3256,0
3257,0
3258,0
3261,0
3262,1
3263,1
3264,1
3265,1
3267,1
3271,0
3273,1
3274,1
3281,1
3284,1
3285,1
3291,1
3292,1
3292,1
3295,1
3297,1
3299,1
3311,1
3312,1
3313,1
3314,1
3315,1
3316,1
3317,1
3318,1
3319,1
3328,1
3329,1
3331,1
3332,1
3333,1
3334,1
3335,1
3336,1
3341,1
3342,1
3343,1
3344,1
3351,1
3352,1
3353,1
3354,1
3355,1
3356,1
3361,1
3362,1
