pc4,labels
4041,0
4043,0
4051,0
4053,0
4054,0
4061,1
4062,0
4063,0
4064,1
4101,1
4102,0
4103,0
4104,0
4105,0
4106,0
4107,0
4111,0
4112,0
4115,1
4116,0
4117,0
4119,0
4121,0
4122,0
4124,1
4125,0
4126,0
4128,0
4131,1
4132,0
4133,0
4141,0
4142,0
4143,0
4145,0
4147,0
4151,0
4152,0
4153,0
4155,0
4156,0
4157,1
4158,0
4161,1
4163,0
4171,1
4174,0
4175,1
4176,0
4181,0
4182,0
4184,0
4185,0
4191,0
4194,0
4196,1
4197,0
4201,1
4202,1
4203,1
4204,0
4205,0
4206,0
4207,0
4208,0
4209,0
4211,1
4212,1
4213,0
4214,1
4221,1
4223,0
4225,0
4231,0
4233,1
4235,0
4241,1
4243,0
4245,0
4247,0
4251,0
4254,0
4255,1
4261,0
4264,0
4265,1
4266,0
4267,1
4268,1
4269,0
4271,1
4273,1
4281,0
4283,0
4284,1
4285,1
4286,1
4287,0
4288,0
4301,1
4302,1
4303,0
4305,1
4306,0
4307,1
4308,0
4311,1
4315,1
4316,1
4317,1
4318,1
4321,1
4322,1
4323,1
4325,1
4326,1
4327,1
4328,1
4331,0
4332,1
4333,1
4334,1
4335,0
4336,1
4337,1
4338,0
4339,1
4341,0
4351,1
4352,1
4353,1
4354,1
4356,1
4357,1
4361,1
4363,0
4364,1
4365,0
4371,1
4373,1
4374,1
4381,0
4382,0
4383,0
4384,1
4385,1
4386,0
4387,0
4388,1
4389,1
4401,1
4411,1
4413,0
4414,0
4415,0
4416,0
4417,1
4421,0
4423,1
4424,1
4431,0
4433,1
4434,1
4435,1
4436,1
4437,1
4438,1
4441,1
4443,1
4444,1
4451,1
4453,1
4454,0
4455,1
4456,1
4458,1
4461,1
4462,1
4463,1
4464,0
4465,0
4471,1
4472,0
4474,1
4475,0
4481,0
4482,0
4484,1
4485,1
4486,1
4491,1
4493,1
4494,1
4501,1
4503,1
4504,1
4505,1
4506,1
4507,1
4508,1
4511,1
4513,1
4515,1
4521,1
4522,1
4524,1
4525,1
4527,1
4528,1
4529,1
4531,0
4532,1
4533,0
4535,1
4536,0
4537,0
4538,1
4539,1
4541,1
4542,1
4543,1
4551,0
4553,1
4554,1
4561,1
4562,0
4564,1
4565,1
4566,1
4567,1
4568,1
4569,1
4571,1
4574,1
4575,1
4576,1
4581,1
4583,1
4584,1
4585,1
4586,1
4587,1
4588,1
4589,1
4611,1
4612,1
4613,1
4614,1
4615,0
4616,0
4617,0
4621,0
4622,1
4623,0
4624,0
4625,1
4631,1
4634,1
4635,1
4641,1
4645,1
4651,1
4652,0
4655,1
4661,0
4664,1
4671,1
4675,1
4681,1
4691,1
4693,1
4694,0
4695,1
4696,1
4697,1
4698,1
4701,0
4702,0
4703,0
4704,1
4705,0
4706,0
4707,1
4708,0
4709,1
4711,1
4714,1
4715,1
4721,1
4722,1
4724,1
4725,1
4726,1
4727,0
4731,1
4735,1
4741,1
4744,1
4751,1
4754,1
4756,1
4758,1
4759,0
4761,1
4762,0
4765,1
4766,1
4771,1
4772,1
4781,1
4782,1
4791,1
4793,1
4794,1
4796,0
4797,1
4811,0
4812,0
4813,1
4814,0
4815,0
4816,0
4817,0
4818,0
4819,0
4822,0
4823,0
4824,0
4825,1
4826,0
4827,0
4834,0
4835,0
4836,1
4837,1
4838,0
4839,0
4841,0
4844,1
4845,0
4847,0
4849,0
4851,1
4854,0
4855,0
4856,1
4858,0
4859,1
4861,1
4871,0
4872,1
4873,1
4874,1
4875,1
4876,1
4877,1
4878,1
4879,1
4881,1
4882,0
4884,1
4885,1
4891,1
4901,1
4902,1
4903,1
4904,1
4905,0
4906,0
4907,1
4908,1
4909,0
4911,0
4921,0
4924,0
4926,1
4927,0
4931,1
4941,1
4942,0
4944,0
5011,0
5012,1
5013,0
5014,0
5015,1
5017,1
5018,0
5021,0
5022,0
5025,0
5026,0
5032,0
5035,0
5036,0
5037,0
5038,0
5041,0
5042,0
5043,1
5044,0
5045,0
5046,0
5047,1
5048,1
5049,0
5051,1
5052,0
5053,0
5056,0
5057,0
5059,0
5061,1
