,pc4,INWONER,MAN,VROUW,INW_014,INW_1524,INW_2544,INW_4564,INW_65PL,P_NL_ACHTG,P_WE_MIG_A,P_NW_MIG_A,AANTAL_HH,TOTHH_EENP,TOTHH_MPZK,HH_EENOUD,HH_TWEEOUD,GEM_HH_GR,UITKMINAOW,OAD,P_LINK_HH,P_HINK_HH,AFS_CAFE,AV1_CAFE,AV3_CAFE,AV5_CAFE,AFS_CAFTAR,AV1_CAFTAR,AV3_CAFTAR,AV5_CAFTAR,AFS_HOTEL,AV5_HOTEL,AV10_HOTEL,AV20_HOTEL,AFS_RESTAU,AV1_RESTAU,AV3_RESTAU,AV5_RESTAU,median_inc
124,1223.0,11665.0,5725.0,5940.0,2310.0,1310.0,3050.0,3255.0,1740.0,70.0,10.0,20.0,4965.0,1625.0,1235.0,450.0,1640.0,2.3,1015.0,2727.0,40.3,21.9,0.9,1.5,44.0,49.2,0.4,5.9,61.3,80.5,1.8,6.1,16.8,75.0,0.5,5.9,107.9,141.5,41700.0
125,1231.0,8790.0,4305.0,4485.0,1355.0,915.0,1635.0,2825.0,2060.0,80.0,10.0,10.0,3845.0,1240.0,1190.0,270.0,1135.0,2.3,480.0,583.0,30.8,30.5,2.9,0.1,1.2,17.9,0.7,2.7,8.9,37.9,3.7,3.9,11.5,66.8,0.6,1.8,10.7,74.4,37900.0
126,1241.0,6740.0,3260.0,3475.0,1020.0,745.0,1190.0,2130.0,1650.0,90.0,10.0,0.0,2970.0,940.0,935.0,185.0,900.0,2.3,310.0,885.0,31.9,28.2,0.8,2.3,4.7,11.4,0.8,1.2,2.9,16.2,2.0,3.1,13.7,46.5,0.5,3.6,6.8,41.0,43600.0
127,1243.0,1310.0,640.0,665.0,145.0,115.0,255.0,460.0,340.0,80.0,10.0,0.0,695.0,295.0,220.0,50.0,125.0,1.9,75.0,547.0,35.2,24.3,0.5,1.6,4.9,31.5,1.1,0.8,4.3,48.0,2.0,4.7,14.9,55.7,0.9,1.3,8.2,89.2,45600.0
128,1244.0,1530.0,770.0,760.0,245.0,160.0,280.0,520.0,320.0,90.0,10.0,0.0,645.0,170.0,240.0,35.0,200.0,2.4,60.0,207.0,26.2,29.7,2.3,0.3,1.7,4.9,2.4,0.2,1.2,5.6,2.2,1.3,14.7,64.5,0.5,1.5,6.3,14.9,54700.0
129,1251.0,10825.0,5115.0,5710.0,1640.0,995.0,1590.0,3140.0,3465.0,80.0,10.0,10.0,4830.0,1775.0,1500.0,370.0,1170.0,2.1,510.0,1098.0,29.3,38.2,0.9,1.0,2.4,16.9,0.7,2.7,8.0,32.0,2.3,2.7,16.8,46.5,0.6,8.9,28.3,62.3,45200.0
130,1252.0,365.0,175.0,190.0,85.0,50.0,85.0,110.0,35.0,80.0,20.0,0.0,125.0,30.0,30.0,10.0,55.0,2.8,30.0,959.0,19.2,46.7,1.4,0.0,2.0,7.6,0.7,2.0,6.8,17.2,1.8,2.0,16.8,47.8,1.1,0.1,22.6,42.7,37600.0
131,1261.0,10590.0,5155.0,5435.0,1825.0,1010.0,2035.0,2935.0,2785.0,80.0,10.0,10.0,4640.0,1450.0,1520.0,315.0,1340.0,2.3,485.0,1058.0,27.2,35.4,2.0,0.0,1.4,3.8,0.7,1.6,11.6,30.3,2.1,3.4,11.0,36.6,0.6,3.7,23.8,55.6,55400.0
132,1262.0,600.0,295.0,305.0,180.0,40.0,230.0,120.0,35.0,70.0,10.0,20.0,200.0,20.0,55.0,10.0,115.0,3.0,25.0,1248.0,31.38401117502941,27.674817612447608,1.6743709064163772,3.874198348897505,29.36276446831954,64.08282401414242,1.3561371656328207,5.460071726048731,39.655592805655075,92.61015396633414,3.4221575220603078,11.053498567083233,28.698141329058643,76.23688053618741,1.2717342431933474,6.49953057708395,51.3034015990667,123.25092823151309,40458.30640330292
133,1271.0,7925.0,3745.0,4180.0,1275.0,850.0,1610.0,2455.0,1735.0,80.0,10.0,10.0,3650.0,1360.0,1040.0,305.0,930.0,2.2,535.0,1689.0,34.7,24.8,0.8,0.7,2.0,2.5,0.4,7.2,22.7,29.8,1.6,4.6,10.7,33.2,0.4,11.3,36.1,52.3,34300.0
