pc4,INWONER_HH,P_MAN,P_VROUW,P_INW_014,P_INW_1524,P_INW_2544,P_INW_4564,P_INW_65PL,AV1_FOOD,AV3_FOOD,AV5_FOOD,OAD,P_NL_ACHTG,P_WE_MIG_A,P_NW_MIG_A,GEM_HH_GR,UITKMINAOW_HH,P_LINK_HH,P_HINK_HH,log_median_inc
1752.0,2.3174603174603177,0.5273972602739726,0.4726027397260274,0.14583333333333334,0.1111111111111111,0.18055555555555558,0.3263888888888889,0.23611111111111108,0.0,7.1,15.499999999999998,132.0,90.0,10.0,0.0,2.3,0.09523809523809523,20.9,28.8,10.631036159813403
1753.0,2.083333333333333,0.512,0.488,0.128,0.11199999999999999,0.20800000000000002,0.29600000000000004,0.256,3.5,9.3,17.8,253.99999999999997,80.0,10.0,0.0,2.1,0.15,41.3,15.6,10.46310334047155
1754.0,2.411764705882353,0.5214723926380368,0.4785276073619632,0.15853658536585366,0.11585365853658533,0.18902439024390244,0.35365853658536583,0.18292682926829268,0.8999999999999999,4.0,17.0,57.0,90.0,10.0,0.0,2.4,0.16176470588235295,32.7,25.1,10.505067539570582
1755.0,2.1933333333333334,0.5075987841945289,0.4924012158054712,0.15548780487804878,0.10365853658536583,0.19817073170731708,0.3109756097560976,0.23170731707317074,4.6,8.3,16.299999999999994,244.0,90.0,10.0,0.0,2.2,0.14666666666666667,33.8,19.0,10.60658506394924
1756.0,2.4923076923076923,0.5,0.5,0.17864476386036962,0.12114989733059547,0.22381930184804927,0.2587268993839836,0.2176591375770021,2.4000000000000004,3.0,5.9,275.0,90.0,10.0,0.0,2.4,0.12307692307692308,36.2,20.600000000000005,10.571316925111784
1757.0,2.306451612903226,0.5314685314685315,0.4685314685314685,0.09790209790209792,0.16083916083916086,0.1958041958041958,0.3566433566433567,0.1888111888111888,0.0,0.30000000000000004,16.700000000000006,107.0,90.0,10.0,0.0,2.3,0.1935483870967742,28.9,23.4,10.529425983402623
1759.0,2.0789473684210527,0.4915611814345992,0.5084388185654009,0.10548523206751056,0.10337552742616034,0.14135021097046413,0.3354430379746836,0.3143459915611814,6.2,14.0,18.6,354.0,90.0,10.0,0.0,2.1,0.12719298245614036,38.2,21.6,10.659609532257463
1761.0,2.331444759206799,0.4975698663426488,0.5024301336573511,0.15370595382746052,0.12575941676792224,0.20899149453219928,0.3080194410692588,0.2035236938031592,3.8,11.6,16.7,711.0,90.0,10.0,0.0,2.3,0.1671388101983003,36.4,19.1,10.510031524645568
1764.0,2.4,0.5132275132275133,0.4867724867724868,0.1509933774834437,0.13774834437086092,0.20662251655629132,0.3165562913907285,0.1880794701986755,1.7999999999999998,3.5,11.2,212.0,90.0,10.0,0.0,2.4,0.14603174603174604,29.0,25.2,10.471638242921387
1766.0,2.4074074074074074,0.5230769230769231,0.476923076923077,0.16885964912280702,0.11403508771929824,0.24342105263157893,0.3092105263157895,0.16447368421052633,2.1,2.8,12.1,202.0,90.0,10.0,0.0,2.4,0.19047619047619047,33.6,20.5,10.404262840448617
1767.0,2.21978021978022,0.504950495049505,0.4950495049504951,0.12807881773399016,0.12315270935960593,0.22660098522167493,0.3497536945812808,0.1724137931034483,2.8,3.4,5.0,145.0,90.0,10.0,0.0,2.2,0.15384615384615385,35.9,18.3,10.581521095286023
1768.0,2.41025641025641,0.5053191489361702,0.4946808510638298,0.1382978723404255,0.14361702127659576,0.17553191489361702,0.34574468085106386,0.19680851063829788,0.7,3.3,28.4,69.0,90.0,0.0,0.0,2.4,0.16666666666666666,28.2,29.0,10.507803519389457
1769.0,2.3125,0.5405405405405406,0.4594594594594595,0.10810810810810814,0.10810810810810811,0.13513513513513514,0.40540540540540543,0.2432432432432433,0.0,2.5,50.90000000000001,35.0,100.0,4.999999999999999,0.0,2.3,0.125,35.089999999999996,21.349999999999998,10.442900633154034
1771.0,2.2329020332717193,0.5066225165562914,0.4933774834437086,0.14664457332228667,0.11847555923777961,0.21955260977630492,0.28583264291632143,0.2294946147473073,3.5,8.1,9.2,592.0,90.0,10.0,0.0,2.2,0.16266173752310534,36.9,18.5,10.558413520275877
1773.0,2.2884615384615383,0.5126050420168067,0.4873949579831933,0.20168067226890762,0.1092436974789916,0.33613445378151263,0.24369747899159666,0.1092436974789916,0.0,0.0,0.0,94.0,70.0,20.0,10.0,2.3,0.24999999999999997,39.5,7.0,10.480100916840122
1774.0,2.488235294117647,0.5153664302600472,0.4846335697399527,0.18439716312056734,0.11347517730496454,0.24586288416075652,0.29314420803782504,0.16312056737588654,0.6,1.5,7.4,152.0,90.0,10.0,0.0,2.5,0.18235294117647055,33.9,24.7,10.247077256926207
1775.0,2.3848580441640377,0.5132275132275133,0.4867724867724868,0.17701453104359313,0.11756935270805813,0.20739762219286662,0.2919418758256275,0.2060766182298547,3.4000000000000004,4.6,5.9,445.00000000000006,90.0,10.0,0.0,2.4,0.17350157728706625,35.8,20.4,10.332017933575287
1777.0,2.185501066098081,0.5004878048780488,0.4995121951219512,0.1474609375,0.109375,0.2099609375,0.2880859375,0.2451171875,6.099999999999999,10.1,16.6,565.0,90.0,10.0,0.0,2.2,0.14498933901918976,40.3,16.7,10.173514689749187
1778.0,2.1904761904761907,0.5297297297297298,0.4702702702702703,0.11351351351351352,0.11351351351351352,0.16216216216216214,0.3621621621621622,0.24864864864864866,1.4,9.8,13.999999999999998,108.0,90.0,10.0,0.0,2.2,0.16666666666666666,29.6,21.5,10.218298292376161
1779.0,2.276190476190476,0.497907949790795,0.502092050209205,0.15513626834381553,0.10062893081761007,0.21802935010482183,0.28721174004192873,0.2389937106918239,6.6999999999999975,10.1,13.700000000000001,380.0,90.0,10.0,0.0,2.2,0.13333333333333333,38.1,19.8,10.268130666124037
