,pc4,AANTAL_HH,P_MAN,P_VROUW,P_INW_014,P_INW_1524,P_INW_2544,P_INW_4564,AFS_TREINS,AFS_TRNOVS,AFS_OPRIT,P_INW_65PL,AV1_FOOD,AV3_FOOD,AV5_FOOD,OAD,P_NL_ACHTG,P_WE_MIG_A,P_NW_MIG_A,GEM_HH_GR,P_UITKMINAOW,P_LINK_HH,P_HINK_HH,log_median_inc
3138,8266,2555.0,49.657064471879295,50.34293552812071,25.308641975308642,11.522633744855968,29.080932784636488,20.85048010973937,6.8,7.0,0.3,13.237311385459533,0.0,0.30000000000000004,8.5,1284.0,90.0,0.0,0.0,2.8,4.320987654320987,20.9,34.2,
3139,8267,220.0,53.54330708661418,46.45669291338583,20.8,18.4,18.4,28.800000000000004,8.2,8.6,4.2,13.600000000000001,0.8,0.9,1.6,456.0,100.0,0.0,,2.8,3.149606299212598,22.0,31.3,10.685103381083682
3140,8271,4470.0,49.47411003236246,50.52588996763754,20.84176446782679,14.204775394577092,23.108053419668153,25.333872925940916,3.3,16.3,0.3,16.51153379198705,0.0,4.5,68.5,966.0,100.0,0.0,0.0,2.7,5.220558478348847,23.1,29.7,10.72326738402944
3141,8274,340.0,51.41242937853108,48.58757062146893,20.33898305084746,12.429378531073446,21.468926553672322,28.24858757062147,5.8,14.1,1.8,17.51412429378531,0.0,0.0,2.0,103.0,100.0,0.0,0.0,2.6,3.389830508474576,20.9,34.7,10.46024210819052
3142,8275,240.0,52.20588235294118,47.79411764705882,22.22222222222222,14.074074074074074,22.22222222222222,28.14814814814815,12.4,15.6,1.3,13.333333333333334,6.1,9.4,19.1,81.0,100.0,0.0,0.0,2.8,4.411764705882353,28.3,23.5,10.671278276091838
3143,8276,260.0,50.0,50.0,19.205298013245034,15.231788079470201,17.880794701986755,29.80132450331126,8.4,12.9,2.3,17.880794701986755,0.0,0.5,7.2,60.0,100.0,0.0,0.0,2.9,3.3333333333333335,,,10.177324218165856
3144,8277,325.0,50.98039215686274,49.019607843137244,20.58823529411765,21.568627450980397,20.098039215686274,27.450980392156865,7.2,10.3,2.9,10.294117647058824,0.0,0.2,1.2000000000000002,162.0,100.0,0.0,,3.1,2.9411764705882364,,,10.613983371430686
3145,8278,280.0,51.70454545454546,48.295454545454554,26.136363636363637,13.068181818181818,23.295454545454543,24.431818181818183,9.5,10.4,2.8,13.068181818181818,0.0,0.1,10.5,28.0,100.0,0.0,0.0,3.1,2.272727272727273,,,10.401227936753463
3146,8281,3480.0,50.9985387238188,49.001461276181196,23.58674463937621,15.692007797270954,24.56140350877193,22.22222222222222,22.9,34.4,2.0,13.937621832358674,17.5,27.4,30.0,831.0,100.0,0.0,0.0,2.9,4.337231968810916,63.0,4.4,10.668955394675699
3147,8291,,50.0,50.0,,,,,24.9,35.5,0.9,,4.8,19.9,29.1,4.0,100.0,,,,,28.0,22.5,
3148,8293,45.0,54.54545454545454,45.454545454545446,21.21212121212121,21.21212121212121,15.151515151515152,36.36363636363637,24.8,34.1,1.2,6.060606060606061,2.3,26.0,30.1,7.0,100.0,,,3.8,3.0303030303030307,44.7,10.4,
3149,8294,55.0,58.82352941176471,41.17647058823529,20.58823529411765,14.705882352941174,23.52941176470588,29.411764705882355,22.1,33.8,1.7,11.76470588235294,3.2,26.2,30.0,8.0,100.0,,,3.0,5.882352941176471,41.4,12.2,
3150,8301,1150.0,45.15366430260047,54.84633569739953,11.82033096926714,7.801418439716312,20.094562647754135,21.513002364066196,22.7,33.2,1.1,38.77068557919622,0.0,4.8,19.0,1532.0,80.0,10.0,10.0,1.7,9.692671394799053,13.8,36.7,10.581521095286023
3151,8302,4190.0,49.83197311569851,50.16802688430148,19.385796545105567,12.715930902111324,23.944337811900198,28.742802303262955,12.7,26.5,0.7,15.211132437619963,2.1,2.5,3.8,1015.0,90.0,10.0,10.0,2.5,6.817090734517523,31.4,20.2,
3152,8303,4205.0,50.077041602465336,49.922958397534664,18.489984591679505,12.223934257832562,24.447868515665125,25.937339496661533,19.2,28.0,1.0,18.900873138161277,0.0,0.2,1.4,1389.0,80.0,10.0,10.0,2.3,11.967128916281458,38.5,21.1,10.335269968961668
3153,8304,1585.0,50.143678160919535,49.85632183908046,17.52873563218391,9.913793103448276,24.42528735632184,27.011494252873565,24.2,31.4,0.6,21.12068965517241,1.4,2.0,6.0,892.0,80.0,10.0,10.0,2.2,8.908045977011493,24.9,25.6,
3154,8305,105.0,56.451612903225815,43.548387096774185,20.634920634920633,14.285714285714285,22.22222222222222,30.15873015873016,30.3,37.2,0.8,12.698412698412698,0.6,0.8,1.9,141.0,100.0,0.0,0.0,2.9,3.225806451612903,29.5,24.8,10.468801361586188
3155,8307,1235.0,50.1628664495114,49.8371335504886,18.211382113821138,12.682926829268293,24.065040650406505,28.292682926829265,30.9,34.0,0.9,16.747967479674795,0.6,0.8,1.6,255.0,90.0,10.0,0.0,2.5,5.5464926590538335,31.8,23.5,10.558413520275877
3156,8308,815.0,51.174934725848566,48.82506527415144,18.96103896103896,11.168831168831167,24.41558441558441,31.16883116883117,26.5,28.2,1.0,14.285714285714285,1.2,3.3,9.7,119.0,80.0,10.0,0.0,2.4,8.093994778067886,31.4,22.1,10.760028280004509
