pc4,INWONER,INW_014,INW_1524,INW_2544,INW_4564,INW_65PL,P_NL_ACHTG,P_WE_MIG_A,P_NW_MIG_A,GEM_HH_GR,UITKMINAOW,OAD,P_LINK_HH,P_HINK_HH,AV5_CAFE,AV5_CAFTAR,AV5_HOTEL,AV5_RESTAU,median_inc
9671,4150.0,380.0,430.0,770.0,1105.0,1465.0,90.0,10.0,10.0,1.7,540.0,1721.0,46.0,11.6,18.3,28.0,4.2,22.9,15700.0
9672,470.0,45.0,55.0,95.0,160.0,115.0,90.0,10.0,0.0,2.1,30.0,624.0,44.3,11.1,18.4,27.9,3.8,22.8,28000.0
9673,3185.0,485.0,295.0,710.0,825.0,875.0,90.0,10.0,10.0,2.0,490.0,1082.0,39.9,12.1,20.0,30.0,4.9,24.1,31500.0
9674,3070.0,475.0,350.0,695.0,980.0,575.0,90.0,10.0,0.0,2.1,400.0,1157.0,34.4,16.9,15.9,25.6,3.4,20.1,34800.0
9675,7165.0,1120.0,790.0,1500.0,2090.0,1665.0,90.0,10.0,0.0,2.2,820.0,1335.0,45.5,13.5,2.7,6.1,1.5,9.5,19100.0
9677,1440.0,200.0,160.0,275.0,540.0,265.0,90.0,10.0,0.0,2.2,175.0,489.0,38.9,11.2,2.9,4.6,0.8,9.6,20100.0
9678,1480.0,230.0,190.0,310.0,515.0,240.0,90.0,10.0,0.0,2.4,140.0,159.0,40.8,12.5,3.4,3.5,0.1,7.3,13300.0
9679,4965.0,660.0,545.0,905.0,1570.0,1290.0,90.0,10.0,0.0,2.2,485.0,548.0,49.3,10.2,4.4,3.5,0.2,5.5,26900.0
9681,2130.0,325.0,270.0,450.0,675.0,405.0,90.0,0.0,0.0,2.3,220.0,200.0,11.1,44.4,5.0,5.3,0.9,5.3,28400.0
9682,1495.0,200.0,175.0,305.0,530.0,285.0,90.0,10.0,0.0,2.2,185.0,113.0,52.8,8.2,5.0,3.2,1.1,4.9,42500.0
9684,2085.0,260.0,200.0,405.0,715.0,500.0,90.0,10.0,0.0,2.1,265.0,152.0,50.9,15.7,4.3,2.3,2.6,5.1,31600.0
9685,570.0,90.0,65.0,95.0,220.0,110.0,90.0,10.0,0.0,2.5,25.0,89.0,46.9,13.5,3.7,1.8,2.5,3.7,25500.0
9686,2090.0,310.0,215.0,435.0,615.0,520.0,90.0,10.0,10.0,2.1,300.0,272.0,,,4.0,2.0,3.0,5.0,46500.0
9687,220.0,25.0,25.0,35.0,90.0,50.0,90.0,10.0,,2.1,25.0,26.0,59.4,6.3,3.9,2.0,3.0,5.0,
9688,410.0,60.0,40.0,80.0,150.0,85.0,80.0,20.0,,2.1,55.0,47.0,42.9,10.7,2.1,0.0,1.0,3.3,24200.0
9691,35.0,,,5.0,15.0,10.0,90.0,,,1.7,10.0,175.0,,,2.5,0.3,0.6,2.7,29600.0
9693,1375.0,170.0,110.0,260.0,460.0,370.0,80.0,20.0,0.0,1.9,225.0,241.0,42.8,14.1,5.1,4.6,0.5,7.4,41200.0
9695,3210.0,440.0,305.0,610.0,1020.0,835.0,90.0,10.0,0.0,2.2,335.0,133.0,39.1,18.7,2.0,1.8,0.0,7.0,19700.0
9696,170.0,15.0,15.0,20.0,70.0,45.0,90.0,10.0,,2.0,20.0,16.0,44.0,13.3,1.2,0.3,0.3,5.8,20300.0
9697,2625.0,295.0,265.0,420.0,805.0,840.0,90.0,10.0,0.0,2.1,235.0,274.0,71.6,8.1,141.1,160.8,24.0,263.4,21000.0
9698,1300.0,180.0,110.0,250.0,405.0,350.0,90.0,10.0,0.0,2.1,105.0,87.0,66.7,9.6,141.5,161.7,23.7,266.0,32700.0
9699,960.0,110.0,80.0,165.0,355.0,250.0,90.0,10.0,0.0,2.1,130.0,64.0,68.8,6.6,141.9,158.0,23.2,266.7,32000.0
9711,9495.0,240.0,4150.0,3270.0,1150.0,690.0,70.0,20.0,10.0,1.2,850.0,6012.0,53.9,11.4,141.4,158.0,22.8,268.3,54100.0
9712,10210.0,355.0,4345.0,3395.0,1310.0,805.0,70.0,20.0,10.0,1.3,805.0,6424.0,75.6,4.3,140.7,156.8,21.9,267.3,
9713,12910.0,1315.0,2955.0,5180.0,2375.0,1085.0,70.0,10.0,20.0,1.5,2120.0,4286.0,76.8,2.9,139.6,156.5,22.0,266.1,
9714,6165.0,470.0,2445.0,2165.0,740.0,340.0,80.0,10.0,10.0,1.4,370.0,5155.0,51.5,15.4,140.7,161.4,22.8,265.0,41100.0
9715,8435.0,835.0,2365.0,3110.0,1455.0,665.0,70.0,10.0,20.0,1.4,1565.0,4832.0,58.8,11.9,140.3,162.0,23.1,264.6,38300.0
9716,4010.0,560.0,690.0,1815.0,695.0,245.0,60.0,10.0,30.0,1.6,910.0,4981.0,50.4,15.5,133.4,149.9,25.2,256.7,41400.0
9717,6650.0,575.0,1925.0,2100.0,1395.0,660.0,80.0,20.0,10.0,1.5,575.0,5637.0,40.1,23.3,137.2,152.3,26.0,260.0,49300.0
9718,9615.0,450.0,3710.0,3130.0,1425.0,900.0,70.0,20.0,10.0,1.3,760.0,4894.0,35.2,26.8,107.4,119.6,18.6,197.8,46200.0
9721,11425.0,1655.0,1630.0,3470.0,2655.0,2020.0,70.0,10.0,10.0,1.8,1150.0,3135.0,61.6,8.9,139.6,156.7,24.0,259.4,37800.0
9722,7840.0,935.0,1175.0,2270.0,1955.0,1505.0,80.0,10.0,10.0,1.7,615.0,2462.0,56.4,11.3,140.0,158.6,24.9,263.9,42000.0
9723,5275.0,665.0,960.0,1460.0,1375.0,820.0,80.0,20.0,10.0,1.8,300.0,1976.0,62.7,7.0,140.0,161.0,24.0,264.6,73700.0
9724,5175.0,265.0,1625.0,1830.0,955.0,490.0,80.0,20.0,10.0,1.4,490.0,4078.0,45.4,18.2,134.3,150.1,23.4,252.3,34500.0
9725,6115.0,340.0,1950.0,2220.0,920.0,690.0,80.0,20.0,10.0,1.4,495.0,4031.0,49.9,16.9,117.7,132.5,22.7,226.7,
9726,4395.0,145.0,2050.0,1500.0,465.0,230.0,70.0,20.0,10.0,1.3,280.0,4204.0,26.4,24.9,136.0,142.7,20.3,249.3,43900.0
9727,5360.0,670.0,1235.0,1790.0,1185.0,485.0,80.0,10.0,10.0,1.7,395.0,2624.0,44.1,8.2,83.4,74.8,11.5,142.9,36600.0
9728,10940.0,1340.0,1420.0,2780.0,2825.0,2570.0,80.0,10.0,10.0,1.8,1060.0,2198.0,59.7,5.5,25.7,29.3,2.6,49.7,43100.0
9731,7735.0,1290.0,835.0,1925.0,2515.0,1175.0,80.0,10.0,10.0,2.3,530.0,1590.0,19.6,27.0,72.4,69.9,11.1,126.0,36100.0
9732,5305.0,1000.0,645.0,1515.0,1340.0,805.0,80.0,10.0,20.0,2.2,660.0,1481.0,,,130.4,128.1,20.1,230.7,38200.0
9733,3610.0,595.0,385.0,865.0,950.0,820.0,80.0,10.0,10.0,1.9,635.0,1378.0,61.2,6.5,40.4,44.6,4.8,78.4,36800.0
9734,2875.0,525.0,325.0,680.0,990.0,355.0,90.0,10.0,10.0,2.4,135.0,1115.0,47.6,8.1,87.3,91.1,11.9,160.4,
9735,225.0,30.0,30.0,30.0,90.0,40.0,90.0,0.0,10.0,2.5,10.0,1320.0,28.3,26.4,117.6,124.9,16.2,213.6,
9736,6260.0,1175.0,845.0,1830.0,1830.0,580.0,70.0,10.0,20.0,2.0,1305.0,1490.0,70.6,4.0,138.8,155.2,21.9,264.1,33200.0
9737,6130.0,1010.0,810.0,1670.0,1940.0,705.0,80.0,10.0,10.0,2.0,855.0,1653.0,66.8,7.3,136.8,155.1,21.4,257.3,
9738,390.0,55.0,55.0,85.0,130.0,70.0,90.0,10.0,10.0,2.1,15.0,1035.0,67.1,5.5,132.1,147.1,20.7,249.6,45900.0
9741,7885.0,1010.0,2120.0,2355.0,1305.0,1095.0,60.0,10.0,20.0,1.6,1170.0,4327.0,42.4,10.6,21.3,34.2,3.6,43.8,41100.0
9742,10525.0,1330.0,2285.0,2830.0,1955.0,2130.0,60.0,10.0,20.0,1.6,1460.0,4030.0,45.3,15.6,64.3,84.9,10.0,126.8,42500.0
9743,11395.0,1435.0,2575.0,2910.0,2310.0,2165.0,70.0,10.0,20.0,1.8,1590.0,2562.0,12.1,42.7,39.9,55.8,5.9,86.6,39400.0
9744,5820.0,1030.0,615.0,1355.0,1590.0,1230.0,90.0,10.0,10.0,2.2,520.0,861.0,,,58.9,78.2,10.1,121.9,56400.0
9745,3200.0,505.0,435.0,620.0,990.0,650.0,90.0,10.0,10.0,2.2,335.0,916.0,,,2.3,1.3,0.0,3.5,39700.0
9746,6650.0,1750.0,715.0,1805.0,1960.0,420.0,80.0,10.0,10.0,2.8,260.0,777.0,33.9,31.7,21.4,26.0,4.7,47.9,
9747,10.0,,,,5.0,,100.0,,,1.7,,898.0,35.4,29.8,12.5,19.8,3.7,34.9,42900.0
9749,30.0,,,,15.0,5.0,90.0,,,1.8,,99.0,28.9,24.2,5.9,9.5,2.0,15.4,37400.0
9751,7170.0,1470.0,580.0,1630.0,1690.0,1800.0,90.0,10.0,0.0,2.2,325.0,1083.0,21.2,42.3,3.3,6.9,2.4,13.8,42800.0
9752,5230.0,740.0,470.0,815.0,1325.0,1870.0,90.0,10.0,0.0,2.0,245.0,900.0,25.8,36.8,2.7,6.6,2.8,14.2,
9753,5165.0,940.0,615.0,1010.0,1620.0,980.0,90.0,10.0,10.0,2.4,390.0,983.0,34.7,21.1,5.5,3.0,2.0,12.8,
9755,730.0,120.0,90.0,110.0,265.0,145.0,90.0,10.0,0.0,2.6,35.0,119.0,27.9,27.4,6.3,4.3,3.5,14.6,36700.0
9756,1335.0,195.0,135.0,175.0,475.0,355.0,90.0,10.0,0.0,2.3,65.0,159.0,7.0,73.7,5.9,16.5,5.0,24.5,37700.0
9761,6925.0,1135.0,665.0,1335.0,1955.0,1835.0,90.0,10.0,0.0,2.2,395.0,894.0,37.8,18.5,2.6,1.0,0.0,3.1,42900.0
9765,3720.0,660.0,320.0,635.0,1060.0,1045.0,90.0,10.0,0.0,2.2,225.0,738.0,,,4.6,2.7,0.0,4.5,48700.0
9766,2695.0,900.0,230.0,630.0,795.0,140.0,90.0,10.0,10.0,3.2,65.0,293.0,25.1,23.3,1.0,0.0,0.0,1.2,
9771,1130.0,190.0,125.0,215.0,345.0,255.0,90.0,0.0,10.0,2.3,95.0,164.0,35.5,16.2,1.0,4.0,1.0,7.2,33200.0
9773,115.0,20.0,10.0,30.0,30.0,25.0,100.0,,,2.5,,57.0,27.2,33.0,2.8,6.4,1.0,12.7,35400.0
9774,670.0,115.0,55.0,130.0,200.0,170.0,90.0,10.0,0.0,2.3,35.0,77.0,32.4,22.4,16.2,18.2,0.8,30.6,
9781,8620.0,1405.0,1015.0,1865.0,2455.0,1880.0,90.0,0.0,0.0,2.3,745.0,805.0,32.5,17.4,2.9,1.0,1.0,6.5,34300.0
9784,275.0,50.0,30.0,45.0,95.0,55.0,90.0,0.0,0.0,2.5,5.0,61.0,32.4,19.0,2.2,1.0,0.9,7.5,37400.0
9785,1010.0,150.0,100.0,180.0,350.0,230.0,90.0,10.0,0.0,2.2,75.0,346.0,,,2.9,2.0,1.9,6.3,
9791,4695.0,855.0,585.0,965.0,1255.0,1035.0,90.0,0.0,0.0,2.4,265.0,545.0,,,1.9,1.2,0.9,6.8,29800.0
9792,780.0,130.0,90.0,180.0,260.0,120.0,90.0,0.0,0.0,2.2,40.0,87.0,42.9,17.8,2.0,1.0,1.0,5.9,33000.0
9793,100.0,10.0,5.0,25.0,35.0,20.0,90.0,,,2.1,10.0,42.0,,,2.7,3.9,1.7,8.4,43200.0
9794,85.0,15.0,10.0,15.0,30.0,15.0,100.0,,,2.6,,38.0,25.2,28.7,1.8,0.8,0.8,5.1,38900.0
9795,365.0,55.0,45.0,70.0,140.0,45.0,90.0,0.0,0.0,2.3,30.0,56.0,28.0,24.0,4.8,2.8,0.6,7.3,34300.0
9796,190.0,40.0,20.0,30.0,65.0,40.0,90.0,0.0,,2.5,5.0,19.0,26.1,24.3,0.7,4.0,2.1,7.3,39400.0
9797,575.0,100.0,60.0,85.0,215.0,110.0,90.0,0.0,0.0,2.5,30.0,57.0,31.0,21.3,0.0,4.1,1.1,7.3,39300.0
9798,500.0,60.0,55.0,80.0,190.0,115.0,90.0,10.0,0.0,2.2,25.0,64.0,16.8,43.9,1.0,4.0,1.9,7.0,
9801,7855.0,1675.0,770.0,1750.0,1930.0,1730.0,90.0,10.0,0.0,2.5,435.0,721.0,28.0,15.0,0.1,3.3,1.9,6.0,
9804,1475.0,260.0,215.0,305.0,450.0,250.0,90.0,0.0,0.0,2.4,100.0,260.0,,,0.1,3.9,2.0,6.8,33200.0
9805,455.0,115.0,50.0,95.0,140.0,55.0,90.0,0.0,0.0,3.0,15.0,490.0,25.1,19.2,1.0,2.0,0.0,4.9,39200.0
9811,275.0,45.0,50.0,65.0,80.0,30.0,90.0,0.0,,2.2,15.0,39.0,36.4,16.3,1.0,3.0,0.8,6.3,
9812,50.0,5.0,5.0,10.0,20.0,5.0,100.0,,,2.5,,41.0,26.2,23.5,2.8,1.1,1.0,5.5,34100.0
9821,1285.0,240.0,185.0,320.0,370.0,170.0,100.0,0.0,0.0,2.6,65.0,176.0,,,0.4,1.7,0.3,4.1,46400.0
9822,1605.0,260.0,210.0,320.0,500.0,310.0,100.0,0.0,0.0,2.4,115.0,227.0,,,2.8,4.1,1.6,8.9,
9824,455.0,45.0,60.0,90.0,180.0,80.0,90.0,10.0,,2.3,35.0,41.0,35.1,22.1,0.9,2.4,1.0,2.4,
9825,195.0,30.0,25.0,30.0,80.0,25.0,90.0,0.0,0.0,2.8,10.0,21.0,35.0,18.8,0.1,2.8,2.8,6.7,32800.0
9827,160.0,10.0,15.0,25.0,65.0,40.0,90.0,0.0,,2.2,5.0,22.0,25.5,29.9,0.5,2.0,2.8,5.2,34200.0
9828,665.0,100.0,85.0,140.0,240.0,105.0,90.0,10.0,0.0,2.3,40.0,105.0,22.4,28.0,0.0,0.2,1.9,1.8,36200.0
9831,2180.0,330.0,260.0,465.0,675.0,455.0,90.0,10.0,0.0,2.2,175.0,287.0,,,1.0,3.4,0.0,1.8,27400.0
9832,400.0,50.0,65.0,70.0,150.0,65.0,90.0,10.0,,2.5,25.0,28.0,41.0,13.8,1.0,3.0,0.0,1.2,27900.0
9833,290.0,55.0,45.0,65.0,90.0,40.0,100.0,,,2.6,10.0,35.0,38.7,18.1,1.0,3.0,1.8,1.0,41200.0
9841,25.0,,,10.0,5.0,,100.0,,,2.6,,68.0,,,1.5,2.7,2.7,0.9,
9842,420.0,70.0,50.0,95.0,130.0,75.0,90.0,0.0,0.0,2.1,20.0,69.0,41.3,16.1,1.0,3.4,3.0,1.9,39700.0
9843,2780.0,455.0,360.0,560.0,790.0,620.0,90.0,0.0,0.0,2.3,170.0,329.0,35.6,17.0,0.1,0.1,3.0,0.0,38200.0
9844,225.0,45.0,15.0,45.0,85.0,35.0,100.0,,,2.3,15.0,28.0,,,0.9,0.0,1.2,0.0,
9845,320.0,40.0,30.0,55.0,115.0,75.0,100.0,0.0,,2.1,30.0,50.0,48.5,6.6,1.9,0.2,0.1,0.4,30200.0
9851,590.0,115.0,60.0,135.0,170.0,110.0,100.0,0.0,,2.3,40.0,72.0,43.7,13.6,1.1,2.0,0.0,5.0,36100.0
9852,205.0,35.0,25.0,45.0,65.0,30.0,90.0,10.0,,2.2,15.0,20.0,27.3,25.3,1.4,2.3,0.0,4.8,
9853,490.0,75.0,50.0,130.0,135.0,100.0,90.0,10.0,0.0,2.1,35.0,67.0,29.5,21.2,1.3,2.3,0.1,4.9,34500.0
