pc4,AANTAL_HH,P_MAN,P_VROUW,P_INW_014,P_INW_1524,P_INW_2544,P_INW_4564,AFS_TREINS,AFS_TRNOVS,AFS_OPRIT,P_INW_65PL,AV1_FOOD,AV3_FOOD,AV5_FOOD,OAD,P_NL_ACHTG,P_WE_MIG_A,P_NW_MIG_A,GEM_HH_GR,P_UITKMINAOW,P_LINK_HH,P_HINK_HH,log_median_inc
9164,330.0,0.5,0.5,0.1836734693877551,0.11564625850340135,0.2585034013605442,0.2585034013605442,18.7,18.8,0.6,0.1836734693877551,1.8,4.6,6.8,206.0,90.0,10.0,0.0,2.2,0.040540540540540536,46.7,11.8,10.611523345589823
9166,530.0,0.5212765957446809,0.4787234042553192,0.11170212765957446,0.09042553191489362,0.20212765957446807,0.3191489361702128,17.6,20.7,2.4,0.2765957446808511,0.0,2.0,5.4,317.0,90.0,10.0,0.0,1.8,0.0481283422459893,,,10.425253116340453
9171,355.0,0.5119047619047619,0.4880952380952381,0.21428571428571427,0.08928571428571429,0.24404761904761904,0.2619047619047619,15.3,19.6,4.1,0.19047619047619047,0.0,0.2,4.8,92.0,90.0,0.0,0.0,2.4,0.0650887573964497,,,10.348173373797573
9172,755.0,0.4971428571428572,0.5028571428571429,0.15669515669515668,0.1168091168091168,0.19658119658119647,0.2849002849002849,16.2,20.5,5.0,0.24501424501424496,0.0,0.0,1.9,248.0,90.0,0.0,0.0,2.2,0.08,,,10.465956409453957
9173,45.0,0.4736842105263158,0.5263157894736842,0.05882352941176471,0.1176470588235294,0.17647058823529413,0.4117647058823529,16.3,22.3,3.5,0.2352941176470588,0.0,0.0,0.0,27.0,90.0,10.0,,2.1,0.05555555555555555,,,10.485703172388794
9174,35.0,0.5,0.5,0.16666666666666666,0.05555555555555555,0.16666666666666666,0.3888888888888889,13.5,17.8,4.1,0.2222222222222222,0.0,2.0,2.0,18.0,100.0,,,2.4,0.1111111111111111,,,10.529425983402623
9175,50.0,0.4615384615384616,0.5384615384615384,0.1111111111111111,0.1851851851851852,0.14814814814814814,0.4074074074074074,14.8,18.3,4.8,0.14814814814814814,0.0,1.2999999999999998,4.7,20.0,100.0,0.0,,2.6,,,,10.507803519389457
9176,25.0,0.4666666666666667,0.5333333333333333,0.13333333333333333,0.2,0.13333333333333333,0.3333333333333333,17.8,23.8,2.7,0.2,21.1,90.3,95.9,10.0,100.0,,,2.8,,59.8,6.1,10.596634733096073
9177,25.0,0.5833333333333334,0.4166666666666667,,,,,19.7,24.3,1.5,,10.5,86.8,93.9,12.0,90.0,,,2.5,0.08333333333333333,53.8,5.9,
9178,90.0,0.4878048780487805,0.5121951219512195,0.15,0.1,0.225,0.325,19.1,22.6,2.0,0.2,35.3,89.8,95.4,20.0,90.0,10.0,,2.2,0.05,50.3,9.3,10.482905967767731
9201,4090.0,0.5030303030303029,0.496969696969697,0.1684848484848485,0.11151515151515153,0.26666666666666666,0.2703030303030303,19.4,21.9,2.0,0.18303030303030304,1.2,40.2,94.4,1995.0,90.0,10.0,10.0,2.0,0.1478787878787879,28.9,21.0,10.721062311471128
9202,3875.0,0.49694749694749696,0.503052503052503,0.1720561317876754,0.11165344722391704,0.26784624771201954,0.2629652226967663,19.1,21.2,3.0,0.1854789505796217,0.8,5.0,65.1,1622.0,80.0,10.0,10.0,2.1,0.1343101343101343,36.7,19.0,10.687389096364537
9203,4935.0,0.4679520583637311,0.5320479416362689,0.1140625,0.09010416666666668,0.1921875,0.240625,16.9,23.9,2.6,0.36302083333333335,0.2,26.6,96.1,1991.0,90.0,10.0,0.0,1.9,0.09431995831162064,,,10.434115803598301
9204,3355.0,0.4924744130042144,0.5075255869957856,0.18242022877784467,0.11980734497290788,0.21252257676098726,0.2883804936785069,17.4,24.5,2.1,0.19686935580975315,0.9,65.19999999999999,96.1,1079.0,90.0,10.0,0.0,2.4,0.08187838651414811,27.9,21.2,10.48849257447637
