Unnamed: 0,pc4,AANTAL_HH,P_MAN,P_VROUW,P_INW_014,P_INW_1524,P_INW_2544,P_INW_4564,AFS_TREINS,AFS_TRNOVS,AFS_OPRIT,P_INW_65PL,AV1_FOOD,AV3_FOOD,AV5_FOOD,OAD,P_NL_ACHTG,P_WE_MIG_A,P_NW_MIG_A,GEM_HH_GR,P_UITKMINAOW,P_LINK_HH,P_HINK_HH,log_median_inc
7606.0,7606.0,3335.0,50.817341862118,49.18265813788202,17.743080198722502,13.05890702625976,29.737402413058906,25.26614620298084,4.2,4.5,1.8,14.194464158978,0.3,6.9,100.9,2012.0,60.0,10.0,30.0,2.1,17.542613636363637,40.96,19.4,10.685103381083682
7607.0,7607.0,4905.0,49.03474903474904,50.965250965250966,12.134583563154994,11.252068394925537,23.55212355212355,27.578599007170435,3.6,3.9,1.4,25.482625482625483,1.0,4.4,124.60000000000001,2139.0,80.0,10.0,10.0,1.8000000000000003,13.06504961411246,25.7,24.499999999999996,10.729853576882297
7608.0,7608.0,4740.0,48.8909008601177,51.1090991398823,15.119963784517882,12.177455862381168,19.782707107288367,28.24807605251245,5.9,5.9,0.8,24.67179719330013,1.0,9.5,65.5,1467.0,80.0,10.0,10.0,2.3,10.049796287913084,25.5,28.3,10.837618202538614
7609.0,7609.000000000001,5535.0,50.787401574803155,49.212598425196845,17.501789549033646,13.564781675017898,22.942018611309948,32.60558339298497,6.7,6.7,0.7,13.385826771653544,0.8,3.3,33.3,1054.0,80.0,10.0,10.0,2.5,8.231925554760199,23.2,30.4,10.70772878060166
7610.0,7610.0,15.000000000000002,44.444444444444436,55.555555555555564,22.222222222222218,11.111111111111109,22.222222222222218,22.222222222222218,1.0,6.3,1.4,22.222222222222218,5.4,32.3,53.7,98.0,90.0,3.4999999999999996,2.5,2.8,5.279644012270953,29.9,17.8,10.541341942241424
7611.0,7611.0,580.0,49.83498349834983,50.16501650165017,16.5016501650165,14.191419141914189,17.82178217821782,31.023102310231017,0.8999999999999999,5.5,0.8999999999999999,20.462046204620464,17.0,36.2,99.0,234.0,90.0,10.0,0.0,2.6,6.600660066006599,47.4,15.6,10.534759329377986
7614.0,7614.0,105.0,57.407407407407405,42.592592592592595,12.962962962962962,14.814814814814813,16.666666666666664,37.03703703703704,1.9,5.8,0.7,18.51851851851852,1.8,35.8,85.4,259.0,90.0,5.5,10.0,2.6,7.4074074074074066,18.4,34.8,10.718852365820325
7615.0,7615.0,585.0,50.625,49.375,17.29559748427673,15.09433962264151,21.383647798742142,30.50314465408805,3.5,7.0,0.3,15.723270440251572,5.199999999999998,10.9,46.5,160.0,100.0,0.0,0.0,2.7,3.448275862068965,25.6,30.6,10.561407414781412
7621.0,7621.0,2405.0,50.64157399486741,49.35842600513258,16.167664670658677,11.719418306244656,19.846022241231825,29.51240376390077,3.1,7.8,2.2,22.75449101796407,1.4,22.800000000000004,47.4,1240.0,90.0,10.0,10.0,2.4,7.185628742514971,23.7,38.7,10.357742824813725
7622.0,7622.0,3754.9999999999995,47.616020343293066,52.383979656706934,13.668150031786393,9.472345835982198,19.453273998728548,26.509853782581054,4.3999999999999995,6.2,0.8999999999999999,30.89637635092181,1.4,3.6,32.599999999999994,1572.0,90.0,10.0,10.0,2.0,8.836617927527017,28.4,33.1,10.687389096364537
7623.0,7623.000000000001,2785.0,50.49309664694279,49.50690335305721,23.127463863337717,10.578186596583445,28.909329829172144,26.544021024967154,12.7,19.3,0.4,10.840998685939553,10.2,20.6,28.5,960.0,90.0,10.0,0.0,2.7,4.862023653088042,28.5,24.2,10.666627104916108
7625.0,7625.0,535.0,53.846153846153854,46.15384615384616,12.91512915129151,13.284132841328415,18.08118081180812,33.210332103321036,13.8,22.8,0.6,22.50922509225093,1.1,3.7,23.2,142.0,90.0,0.0,0.0,2.5,6.95970695970696,18.1,36.2,10.431170293368544
7626.0,7626.0,175.0,52.83018867924528,47.16981132075472,20.754716981132077,12.264150943396224,18.867924528301888,29.245283018867926,17.1,25.9,3.8,18.867924528301888,1.4999999999999998,3.4,7.499999999999999,141.0,90.0,0.0,0.0,3.0,3.7735849056603774,26.4,35.5,10.623763400484325
7627.0,7627.0,700.0,50.26737967914438,49.73262032085562,18.71657754010695,10.695187165775401,21.92513368983957,29.144385026737968,11.4,18.2,1.0,19.518716577540108,0.4,12.8,25.0,117.0,100.0,0.0,0.0,2.6,4.266666666666667,15.099999999999998,44.9,10.687389096364537
7631.0,7631.0,1895.0,49.49832775919733,50.50167224080268,13.058035714285715,12.388392857142858,17.857142857142858,29.24107142857143,14.8,20.9,1.8,27.455357142857146,2.4,14.300000000000002,26.7,589.0,90.0,10.0,0.0,2.3,4.6875,26.3,42.1,10.729853576882297
