,pc4,INWONER,P_MAN,P_VROUW,P_INW_014,P_INW_1524,P_INW_2544,P_INW_4564,P_INW_65PL,AV1_FOOD,AV3_FOOD,AV5_FOOD,OAD,P_NL_ACHTG,P_WE_MIG_A,P_NW_MIG_A,GEM_HH_GR,UITKMINAOW,P_LINK_HH,P_HINK_HH,log_median_inc
2146,5986,2120.0,0.5047169811320755,0.49528301886792453,0.16,0.12705882352941175,0.20470588235294118,0.33647058823529413,0.17176470588235293,6.7,13.8,44.1,197.0,90.0,0.0,0.0,2.6,110.0,35.4,23.2,10.685103381083682
2147,5987,1270.0,0.5078740157480315,0.4921259842519685,0.18110236220472442,0.0984251968503937,0.2637795275590551,0.2952755905511811,0.16141732283464566,77.1,123.6,136.2,285.0,90.0,0.0,0.0,2.6,60.0,52.9,11.6,10.623763400484325
2148,5988,6225.0,0.5020080321285141,0.4979919678714859,0.14469453376205788,0.12218649517684887,0.2266881028938907,0.30787781350482313,0.1985530546623794,5.8,87.2,129.4,788.0,90.0,10.0,0.0,2.4,360.0,29.0,22.0,10.623763400484325
2149,5991,6510.0,0.5061443932411674,0.49385560675883255,0.1445042275172944,0.11145272867025365,0.22136817832436587,0.3013066871637202,0.22136817832436587,6.6,93.3,146.0,576.0,90.0,10.0,0.0,2.4,390.0,22.3,34.7,10.515966830028619
2150,5993,6520.0,0.5115030674846626,0.48849693251533743,0.16180981595092025,0.10659509202453987,0.21855828220858894,0.2967791411042945,0.21625766871165644,11.099999999999998,106.9,134.0,502.0,90.0,10.0,0.0,2.4,340.0,40.1,13.7,10.298902324790792
2151,5995,4210.0,0.5083135391923991,0.4916864608076009,0.14608076009501186,0.11520190023752969,0.20665083135391923,0.32304038004750596,0.20902612826603326,1.0999999999999999,70.9,93.0,311.0,90.0,10.0,0.0,2.3,285.0,33.5,23.1,10.341742483467284
2152,6001,7420.0,0.480782198246797,0.519217801753203,0.08766014834794336,0.09035738368172623,0.22117329737019556,0.2589345920431558,0.3418745785569791,11.5,102.4,125.80000000000001,2215.0,80.0,10.0,10.0,1.8,730.0,42.3,17.3,10.254144424149297
2153,6002,6705.0,0.507451564828614,0.49254843517138597,0.16554809843400448,0.11782252050708426,0.23117076808351977,0.32811334824757643,0.15734526472781507,3.2,6.3999999999999995,15.3,803.0,80.0,10.0,10.0,2.4,530.0,26.6,27.5,10.106428396532818
2154,6003,5190.0,0.5057803468208093,0.49421965317919075,0.15591915303176132,0.14148219441770934,0.19345524542829645,0.32820019249278154,0.1809432146294514,0.7,3.1999999999999997,19.1,832.0,90.0,10.0,0.0,2.6,295.0,23.7,28.9,10.25061708363133
2155,6004,9310.0,0.4924812030075188,0.5075187969924813,0.15136876006441224,0.0998389694041868,0.2463768115942029,0.273215244229737,0.22920021470746108,1.8,6.800000000000001,31.400000000000002,1488.0,80.0,10.0,10.0,2.2,855.0,32.2,26.5,10.736396675471232
