pc4,INWONER,P_MAN,P_VROUW,P_INW_014,P_INW_1524,P_INW_2544,P_INW_4564,P_INW_65PL,AV1_FOOD,AV3_FOOD,AV5_FOOD,OAD,P_NL_ACHTG,P_WE_MIG_A,P_NW_MIG_A,GEM_HH_GR,UITKMINAOW,P_LINK_HH,P_HINK_HH,log_median_inc
1541.0,11260.0,0.4968916518650089,0.5031083481349912,0.1483126110124334,0.10923623445825931,0.22202486678508,0.28197158081705154,0.23845470692717588,5.0,51.3,134.8,1977.0000000000002,80.0,10.0,10.0,2.2,930.0,34.8,20.2,10.55581273857582
1544.0,8710.0,0.4942594718714122,0.5057405281285878,0.1390005743825387,0.1292360712234348,0.21137277426766227,0.3262492820218265,0.1941412981045376,6.099999999999999,40.3,149.0,1369.0,80.0,10.0,20.0,2.2,910.0,41.2,20.8,10.65254236503437
1546.0,710.0,0.4859154929577465,0.5140845070422535,0.1338028169014084,0.13380281690140844,0.14084507042253522,0.34507042253521125,0.24647887323943662,1.0,4.4,18.200000000000006,146.0,90.0,0.0,0.0,2.3,30.0,29.2,33.7,10.805679360030782
1551.0,4680.0,0.5112059765208111,0.4887940234791889,0.13141025641025642,0.11965811965811968,0.1997863247863248,0.33974358974358976,0.2094017094017094,0.4,4.6,57.3,329.0,90.0,10.0,0.0,2.3,270.0,29.2,29.6,10.382822509210747
1561.0,7985.0,0.4859110832811522,0.5140889167188478,0.13892365456821024,0.09136420525657073,0.23717146433041308,0.28848560700876097,0.24405506883604505,19.4,59.900000000000006,96.6,2251.0,80.0,10.0,10.0,2.0,910.0,50.4,12.6,10.454494965934948
1562.0,9210.0,0.4875135722041259,0.5124864277958739,0.16992399565689467,0.1270358306188925,0.1921824104234528,0.28338762214983715,0.2274701411509229,3.1,39.6,82.6,1705.0,80.0,10.0,10.0,2.4,645.0,34.2,22.7,10.578979797857352
1566.0,13090.0,0.5003819709702063,0.4996180290297938,0.16036655211912945,0.12829324169530354,0.21229476899579997,0.3237877052310042,0.17525773195876287,3.7,25.200000000000006,58.300000000000004,897.0,90.0,10.0,10.0,2.4,810.0,29.2,25.9,10.55581273857582
1567.0,10830.0,0.4930747922437673,0.5069252077562327,0.2940904893813481,0.11403508771929824,0.3301015697137581,0.21929824561403508,0.042474607571560484,4.1,39.7,80.6,1621.0,70.0,10.0,20.0,3.0,565.0,17.8,35.0,10.703244468154331
1601.0,7405.0,0.4949358541525996,0.5050641458474004,0.12027027027027029,0.08783783783783783,0.21013513513513515,0.29054054054054046,0.29121621621621624,44.6,61.1,76.19999999999997,1362.0,90.0,10.0,0.0,1.9,600.0,43.7,16.5,10.483711657751325
1602.0,11105.0,0.5063063063063064,0.4936936936936937,0.18370103556956327,0.11931562359297615,0.25393966681674923,0.27780279153534443,0.16524088248536695,2.4,52.400000000000006,73.4,1416.0,80.0,10.0,10.0,2.3,1175.0,39.9,16.5,10.524064040261237
1606.0,4320.0,0.5052023121387283,0.4947976878612717,0.16685979142526072,0.1205098493626883,0.20625724217844726,0.2989571263035921,0.2074159907300116,1.8,5.4,12.6,415.0,90.0,10.0,0.0,2.4,290.0,32.5,24.8,10.515966830028619
1607.0,1500.0,0.5266666666666666,0.4733333333333333,0.15,0.13,0.21333333333333332,0.3133333333333333,0.19333333333333333,1.4,6.0,13.5,211.0,90.0,10.0,0.0,2.3,115.0,34.1,26.000000000000004,10.54006438160768
1608.0,1350.0,0.5111111111111111,0.4888888888888889,0.14444444444444446,0.1111111111111111,0.1814814814814815,0.34074074074074073,0.2222222222222222,1.0,2.8,9.0,88.0,90.0,10.0,0.0,2.4,70.0,26.8,32.3,10.566175525611364
1609.0,105.0,0.5714285714285714,0.42857142857142855,0.12524999451777197,0.12115670211768526,0.18682628245352112,0.3786726314329179,0.18809438947810375,0.0,0.6000000000000001,6.699999999999998,25.0,90.0,10.0,3.333333333333333,2.3,43.66666666666666,32.63,24.113333333333326,10.680516217076775
1611.0,10260.0,0.5,0.5,0.1608187134502924,0.1286549707602339,0.20808966861598444,0.2826510721247563,0.21978557504873292,4.2,20.9,77.7,1239.0,90.0,10.0,10.0,2.4,775.0,34.2,18.9,10.515966830028619
1613.0,9280.0,0.5026939655172413,0.4973060344827586,0.17339795368874528,0.11362412493268711,0.24178782983306413,0.26978998384491115,0.20140010770059238,3.6,16.299999999999994,44.8,1140.0,90.0,10.0,10.0,2.3,795.0,35.0,17.0,10.3797217315325
1614.0,2170.0,0.5161290322580645,0.4838709677419355,0.14746543778801846,0.1152073732718894,0.21658986175115208,0.2764976958525346,0.24423963133640558,0.1,15.600000000000001,25.0,603.0,90.0,10.0,0.0,2.3,110.0,34.8,20.8,10.308952660644293
1616.0,8150.000000000001,0.4957055214723927,0.5042944785276073,0.16758747697974216,0.12031921424186615,0.23081645181092691,0.2608962553713935,0.2203806015960712,2.9,6.4,23.3,834.0,90.0,10.0,0.0,2.4,510.0,32.6,21.9,10.413312675968537
1617.0,1810.0,0.5206611570247934,0.4793388429752066,0.18232044198895028,0.12154696132596685,0.2154696132596685,0.2845303867403315,0.19613259668508287,1.4999999999999998,4.6,19.1,191.0,90.0,10.0,0.0,2.5,95.0,26.9,28.5,10.367221568768267
