pc4,INWONER,MAN,VROUW,INW_014,INW_1524,INW_2544,INW_4564,INW_65PL,P_NL_ACHTG,P_WE_MIG_A,P_NW_MIG_A,AANTAL_HH,TOTHH_EENP,TOTHH_MPZK,HH_EENOUD,HH_TWEEOUD,GEM_HH_GR,UITKMINAOW,OAD,P_LINK_HH,P_HINK_HH,AFS_CAFE,AV1_CAFE,AV3_CAFE,AV5_CAFE,AFS_CAFTAR,AV1_CAFTAR,AV3_CAFTAR,AV5_CAFTAR,AFS_HOTEL,AV5_HOTEL,AV10_HOTEL,AV20_HOTEL,AFS_RESTAU,AV1_RESTAU,AV3_RESTAU,AV5_RESTAU,median_inc
5913.0,9775.0,4805.0,4970.0,1320.0,1030.0,2210.0,2865.0,2350.0,80.0,10.0,0.0,4790.0,1875.0,1530.0,265.0,1100.0,2.0,610.0,2388.0,52.3,7.9,0.4,2.9,39.3,66.7,0.3,7.2,58.3,94.4,1.9,9.5,17.4,32.2,0.5,2.8,50.4,81.1,41500.0
5914.0,7760.0,3805.0,3955.0,1025.0,905.0,2010.0,2050.0,1765.0,70.0,20.0,20.0,4050.0,1995.0,990.0,325.0,710.0,1.9,1045.0,1997.0,61.2,6.6,0.5,3.1,28.2,75.4,0.6,4.0,43.5,100.1,2.3,10.1,17.8,34.4,0.8,3.4,36.7,87.2,40100.0
5915.0,5510.0,2690.0,2820.0,855.0,620.0,1225.0,1770.0,1040.0,70.0,20.0,10.0,2520.0,975.0,660.0,275.0,590.0,2.1,855.0,1297.0,31.8,11.9,1.2,0.3,14.6,71.2,1.1,0.5,22.0,94.6,2.3,8.8,18.0,34.1,1.3,0.2,13.1,85.8,46000.0
5916.0,2500.0,1250.0,1250.0,365.0,245.0,515.0,835.0,540.0,90.0,10.0,0.0,1045.0,240.0,420.0,50.0,335.0,2.4,130.0,587.0,41.6,12.2,1.1,0.3,12.8,59.2,0.4,1.7,21.6,83.9,2.3,7.3,17.1,32.1,1.2,0.2,11.6,75.7,35613.333333333336
5921.0,6765.0,3350.0,3415.0,955.0,660.0,1570.0,1795.0,1785.0,70.0,20.0,10.0,3440.0,1560.0,930.0,295.0,640.0,1.9,805.0,2481.0,16.2,31.8,0.6,2.1,11.9,70.3,0.7,0.9,19.5,95.5,2.8,8.7,18.1,34.1,1.9,0.0,11.8,87.6,34400.0
5922.0,5710.0,2820.0,2890.0,1190.0,675.0,1615.0,1460.0,770.0,50.0,20.0,30.0,2445.0,820.0,585.0,340.0,680.0,2.3,800.0,1996.0,24.2,28.2,0.6,0.8,4.0,30.4,0.5,0.9,7.5,49.3,0.9,3.5,16.8,33.0,2.6,0.0,2.0,41.1,40800.0
5923.0,2915.0,1360.0,1560.0,360.0,245.0,560.0,795.0,950.0,70.0,20.0,10.0,1545.0,715.0,465.0,105.0,255.0,1.9,345.0,1876.0,36.7,24.9,1.3,0.9,32.2,55.6,1.3,0.7,50.7,79.3,2.2,8.0,16.6,32.9,1.7,0.2,45.3,67.6,42100.0
5924.0,3795.0,1960.0,1830.0,615.0,450.0,935.0,1160.0,630.0,60.0,20.0,20.0,1560.0,420.0,485.0,95.0,545.0,2.4,355.0,1816.0,44.0,14.1,0.4,5.6,16.8,72.8,0.4,7.1,19.5,93.0,0.8,10.7,17.8,33.1,0.5,7.7,18.0,88.3,41800.0
5925.0,3895.0,1960.0,1935.0,655.0,435.0,1080.0,1285.0,435.0,60.0,20.0,20.0,1680.0,500.0,490.0,165.0,515.0,2.3,495.0,1373.0,45.7,8.6,0.8,2.5,16.0,35.8,0.4,2.3,16.2,41.2,1.8,6.8,16.5,31.2,1.8,0.0,14.0,40.8,47200.0
5926.0,2845.0,1455.0,1390.0,405.0,330.0,480.0,875.0,750.0,90.0,10.0,0.0,1140.0,200.0,500.0,40.0,390.0,2.5,120.0,934.0,46.6,14.9,0.5,3.0,17.6,27.8,0.4,2.5,19.5,34.7,1.1,6.8,17.1,37.7,0.7,2.9,17.6,34.0,42000.0
